"5474667","GG01","ATV","1","3N2387","F13KZ500","DP1846769.00C","ET6XN5V-HSY2ZC8CM3",25,1055,300,"YOK","20240904140705","AMKVN","PWNPZ153MX","DP1846769-01F0",1,43,742,"PWNPZ152MX","DP1846769-02E3",2,77,742,"PWNPZ151MX","DP1846769-03D6",3,84,742,"PWNPZ125MX","DP1846769-04D1",4,27,742,"PWNPZ124MX","DP1846769-05C4",5,26,742,"PWNPZ123MX","DP1846769-06B7",6,40,742,"PWNPZ122MX","DP1846769-07B2",7,30,742,"PWNPZ121MX","DP1846769-08A5",8,53,742,"PWNPZ120MX","DP1846769-09A0",9,43,742,"PWNPZ119MX","DP1846769-10A5",10,41,742,"PWNPZ118MX","DP1846769-11A0",11,50,742,"PWNPZ117MX","DP1846769-12G6",12,49,742,"PWNPZ116MX","DP1846769-13G1",13,33,742,"PWNPZ115MX","DP1846769-14F4",14,49,742,"PWNPZ114MX","DP1846769-15E7",15,28,742,"PWNPZ113MX","DP1846769-16E2",16,34,742,"PWNPZ112MX","DP1846769-17D5",17,44,742,"PWNPZ111MX","DP1846769-18D0",18,32,742,"PWNPZ110MX","DP1846769-19C3",19,27,742,"PWNPZ109MX","DP1846769-20D0",20,46,742,"PWNPZ108MX","DP1846769-21C3",21,40,742,"PWNPZ107MX","DP1846769-22B6",22,38,742,"PWNPZ106MX","DP1846769-23B1",23,37,742,"PWNPZ105MX","DP1846769-24A4",24,34,742,"PWNPZ104MX","DP1846769-25H2",25,50,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474668","GG01","ATV","1","3N2610","F13KHT00","DP1846145.00C","ET6XN5V-HSY21A8000",25,16030,300,"YOK","20240904140704","AMKVN","GF3AB125SE","DP1846145-01B2",1,635,742,"GF3AB076SE","DP1846145-02A5",2,635,742,"GF3AB077SE","DP1846145-03A0",3,653,742,"GF3AB078SE","DP1846145-04G6",4,666,742,"GF3AB079SE","DP1846145-05G1",5,664,742,"GF3AB080SE","DP1846145-06F4",6,667,742,"GF3AB081SE","DP1846145-07E7",7,654,742,"GF3AB082SE","DP1846145-08E2",8,619,742,"GF3AB083SE","DP1846145-09D5",9,661,742,"GF3AB084SE","DP1846145-10E2",10,666,742,"GF3AB085SE","DP1846145-11D5",11,663,742,"GF3AB086SE","DP1846145-12D0",12,666,742,"GF3AB087SE","DP1846145-13C3",13,607,742,"GF3AB088SE","DP1846145-14B6",14,648,742,"GF3AB089SE","DP1846145-15B1",15,641,742,"GF3AB090SE","DP1846145-16A4",16,623,742,"GF3AB091SE","DP1846145-17H2",17,590,742,"GF3AB092SE","DP1846145-18G5",18,624,742,"GF3AB093SE","DP1846145-19G0",19,620,742,"GF3AB094SE","DP1846145-20G5",20,610,742,"GF3AB095SE","DP1846145-21G0",21,630,742,"GF3AB096SE","DP1846145-22F3",22,641,742,"GF3AB097SE","DP1846145-23E6",23,666,742,"GF3AB098SE","DP1846145-24E1",24,636,742,"GF3AB099SE","DP1846145-25D4",25,645,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474669","GG01","ATV","1","3N2613","F13KHT00","DP1846145.00C","ET6XN5V-HSY2ZC8CM3",25,902,300,"YOK","20240904140704","AMKVN","GF3AB125SE","DP1846145-01B2",1,37,742,"GF3AB076SE","DP1846145-02A5",2,49,742,"GF3AB077SE","DP1846145-03A0",3,37,742,"GF3AB078SE","DP1846145-04G6",4,35,742,"GF3AB079SE","DP1846145-05G1",5,31,742,"GF3AB080SE","DP1846145-06F4",6,27,742,"GF3AB081SE","DP1846145-07E7",7,30,742,"GF3AB082SE","DP1846145-08E2",8,42,742,"GF3AB083SE","DP1846145-09D5",9,27,742,"GF3AB084SE","DP1846145-10E2",10,28,742,"GF3AB085SE","DP1846145-11D5",11,25,742,"GF3AB086SE","DP1846145-12D0",12,30,742,"GF3AB087SE","DP1846145-13C3",13,57,742,"GF3AB088SE","DP1846145-14B6",14,29,742,"GF3AB089SE","DP1846145-15B1",15,37,742,"GF3AB090SE","DP1846145-16A4",16,35,742,"GF3AB091SE","DP1846145-17H2",17,46,742,"GF3AB092SE","DP1846145-18G5",18,27,742,"GF3AB093SE","DP1846145-19G0",19,41,742,"GF3AB094SE","DP1846145-20G5",20,41,742,"GF3AB095SE","DP1846145-21G0",21,37,742,"GF3AB096SE","DP1846145-22F3",22,30,742,"GF3AB097SE","DP1846145-23E6",23,34,742,"GF3AB098SE","DP1846145-24E1",24,44,742,"GF3AB099SE","DP1846145-25D4",25,46,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474670","GG01","ATV","1","3N2874","F13JDZ00","DP1844711.00C","ET6XN5V-HSY21A8000",25,16375,300,"YOK","20240904140704","AMKVN","GE5HF104SE","DP1844711-01E2",1,631,742,"GE5HF105SE","DP1844711-02D5",2,650,742,"GE5HF106SE","DP1844711-03D0",3,648,742,"GE5HF107SE","DP1844711-04C3",4,647,742,"GE5HF108SE","DP1844711-05B6",5,669,742,"GE5HF109SE","DP1844711-06B1",6,623,742,"GE5HF110SE","DP1844711-07A4",7,671,742,"GE5HF111SE","DP1844711-08H2",8,651,742,"GE5HF112SE","DP1844711-09G5",9,669,742,"GE5HF113SE","DP1844711-10H2",10,659,742,"GE5HF114SE","DP1844711-11G5",11,683,742,"GE5HF115SE","DP1844711-12G0",12,636,742,"GE5HF116SE","DP1844711-13F3",13,651,742,"GE5HF117SE","DP1844711-14E6",14,669,742,"GE5HF118SE","DP1844711-15E1",15,674,742,"GE5HF119SE","DP1844711-16D4",16,640,742,"GE5HF120SE","DP1844711-17C7",17,665,742,"GE5HF121SE","DP1844711-18C2",18,655,742,"GE5HF122SE","DP1844711-19B5",19,658,742,"GE5HF123SE","DP1844711-20C2",20,640,742,"GE5HF124SE","DP1844711-21B5",21,666,742,"GE5HF125SE","DP1844711-22B0",22,634,742,"GE5HF126SE","DP1844711-23A3",23,668,742,"GE5HF127SE","DP1844711-24H1",24,642,742,"GE5HF128SE","DP1844711-25G4",25,676,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474671","GG01","ATV","1","3N2877","F13JDZ00","DP1844711.00C","ET6XN5V-HSY2ZC8CM3",25,881,300,"YOK","20240904140704","AMKVN","GE5HF104SE","DP1844711-01E2",1,32,742,"GE5HF105SE","DP1844711-02D5",2,39,742,"GE5HF106SE","DP1844711-03D0",3,45,742,"GE5HF107SE","DP1844711-04C3",4,41,742,"GE5HF108SE","DP1844711-05B6",5,22,742,"GE5HF109SE","DP1844711-06B1",6,52,742,"GE5HF110SE","DP1844711-07A4",7,26,742,"GE5HF111SE","DP1844711-08H2",8,35,742,"GE5HF112SE","DP1844711-09G5",9,38,742,"GE5HF113SE","DP1844711-10H2",10,34,742,"GE5HF114SE","DP1844711-11G5",11,29,742,"GE5HF115SE","DP1844711-12G0",12,45,742,"GE5HF116SE","DP1844711-13F3",13,37,742,"GE5HF117SE","DP1844711-14E6",14,28,742,"GE5HF118SE","DP1844711-15E1",15,28,742,"GE5HF119SE","DP1844711-16D4",16,40,742,"GE5HF120SE","DP1844711-17C7",17,35,742,"GE5HF121SE","DP1844711-18C2",18,25,742,"GE5HF122SE","DP1844711-19B5",19,44,742,"GE5HF123SE","DP1844711-20C2",20,29,742,"GE5HF124SE","DP1844711-21B5",21,30,742,"GE5HF125SE","DP1844711-22B0",22,49,742,"GE5HF126SE","DP1844711-23A3",23,35,742,"GE5HF127SE","DP1844711-24H1",24,28,742,"GE5HF128SE","DP1844711-25G4",25,35,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474672","GG01","ATV","1","3N4050","F13I3B00","DP1843031.00C","ET6XN5V-HSY21A8000",25,16300,300,"YOK","20240904140704","AMKVN","PWKZT050MX","DP1843031-01E2",1,638,742,"PWKZT049MX","DP1843031-02D5",2,670,742,"PWKZT048MX","DP1843031-03D0",3,637,742,"PWKZT047MX","DP1843031-04C3",4,658,742,"PWKZT046MX","DP1843031-05B6",5,667,742,"PWKZT045MX","DP1843031-06B1",6,662,742,"PWKZT044MX","DP1843031-07A4",7,641,742,"PWKZT043MX","DP1843031-08H2",8,661,742,"PWKZT042MX","DP1843031-09G5",9,614,742,"PWKZT041MX","DP1843031-10H2",10,674,742,"PWKZT040MX","DP1843031-11G5",11,617,742,"PWKZT039MX","DP1843031-12G0",12,673,742,"PWKZT038MX","DP1843031-13F3",13,661,742,"PWKZT037MX","DP1843031-14E6",14,622,742,"PWKZT036MX","DP1843031-15E1",15,651,742,"PWKZT035MX","DP1843031-16D4",16,669,742,"PWKZT034MX","DP1843031-17C7",17,643,742,"PWKZT033MX","DP1843031-18C2",18,650,742,"PWKZT032MX","DP1843031-19B5",19,635,742,"PWKZT031MX","DP1843031-20C2",20,682,742,"PWKZT030MX","DP1843031-21B5",21,622,742,"PWKZT029MX","DP1843031-22B0",22,660,742,"PWKZT028MX","DP1843031-23A3",23,652,742,"PWKZT027MX","DP1843031-24H1",24,680,742,"PWKZT026MX","DP1843031-25G4",25,661,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474673","GG01","ATV","1","3N4053","F13I3B00","DP1843031.00C","ET6XN5V-HSY2ZC8CM3",25,915,300,"YOK","20240904140704","AMKVN","PWKZT050MX","DP1843031-01E2",1,45,742,"PWKZT049MX","DP1843031-02D5",2,32,742,"PWKZT048MX","DP1843031-03D0",3,38,742,"PWKZT047MX","DP1843031-04C3",4,35,742,"PWKZT046MX","DP1843031-05B6",5,31,742,"PWKZT045MX","DP1843031-06B1",6,40,742,"PWKZT044MX","DP1843031-07A4",7,40,742,"PWKZT043MX","DP1843031-08H2",8,36,742,"PWKZT042MX","DP1843031-09G5",9,50,742,"PWKZT041MX","DP1843031-10H2",10,32,742,"PWKZT040MX","DP1843031-11G5",11,56,742,"PWKZT039MX","DP1843031-12G0",12,31,742,"PWKZT038MX","DP1843031-13F3",13,39,742,"PWKZT037MX","DP1843031-14E6",14,53,742,"PWKZT036MX","DP1843031-15E1",15,42,742,"PWKZT035MX","DP1843031-16D4",16,25,742,"PWKZT034MX","DP1843031-17C7",17,40,742,"PWKZT033MX","DP1843031-18C2",18,31,742,"PWKZT032MX","DP1843031-19B5",19,47,742,"PWKZT031MX","DP1843031-20C2",20,19,742,"PWKZT030MX","DP1843031-21B5",21,47,742,"PWKZT029MX","DP1843031-22B0",22,26,742,"PWKZT028MX","DP1843031-23A3",23,37,742,"PWKZT027MX","DP1843031-24H1",24,18,742,"PWKZT026MX","DP1843031-25G4",25,25,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474674","GG01","ATV","1","3N4058","F13J8V00","DP1844527.00C","ET6XN5V-HSY21A8000",25,16089,300,"YOK","20240904140704","AMKVN","PWKZX104MX","DP1844527-01A1",1,597,742,"PWKZX103MX","DP1844527-02G7",2,653,742,"PWKZX102MX","DP1844527-03G2",3,641,742,"PWKZX101MX","DP1844527-04F5",4,650,742,"PWKZX146MX","DP1844527-05F0",5,634,742,"PWKZX145MX","DP1844527-06E3",6,659,742,"PWKZX144MX","DP1844527-07D6",7,633,742,"PWKZX143MX","DP1844527-08D1",8,667,742,"PWKZX142MX","DP1844527-09C4",9,628,742,"PWKZX141MX","DP1844527-10D1",10,670,742,"PWKZX140MX","DP1844527-11C4",11,644,742,"PWKZX139MX","DP1844527-12B7",12,652,742,"PWKZX138MX","DP1844527-13B2",13,632,742,"PWKZX137MX","DP1844527-14A5",14,647,742,"PWKZX136MX","DP1844527-15A0",15,646,742,"PWKZX135MX","DP1844527-16G6",16,643,742,"PWKZX133MX","DP1844527-17G1",17,634,742,"PWKZX132MX","DP1844527-18F4",18,646,742,"PWKZX131MX","DP1844527-19E7",19,642,742,"PWKZX130MX","DP1844527-20F4",20,661,742,"PWKZX129MX","DP1844527-21E7",21,636,742,"PWKZX128MX","DP1844527-22E2",22,648,742,"PWKZX127MX","DP1844527-23D5",23,666,742,"PWKZX126MX","DP1844527-24D0",24,642,742,"PWKZX125MX","DP1844527-25C3",25,618,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474675","GG01","ATV","1","3N4061","F13J8V00","DP1844527.00C","ET6XN5V-HSY2ZC8CM3",25,1018,300,"YOK","20240904140704","AMKVN","PWKZX104MX","DP1844527-01A1",1,61,742,"PWKZX103MX","DP1844527-02G7",2,40,742,"PWKZX102MX","DP1844527-03G2",3,41,742,"PWKZX101MX","DP1844527-04F5",4,32,742,"PWKZX146MX","DP1844527-05F0",5,38,742,"PWKZX145MX","DP1844527-06E3",6,24,742,"PWKZX144MX","DP1844527-07D6",7,48,742,"PWKZX143MX","DP1844527-08D1",8,30,742,"PWKZX142MX","DP1844527-09C4",9,51,742,"PWKZX141MX","DP1844527-10D1",10,32,742,"PWKZX140MX","DP1844527-11C4",11,39,742,"PWKZX139MX","DP1844527-12B7",12,44,742,"PWKZX138MX","DP1844527-13B2",13,46,742,"PWKZX137MX","DP1844527-14A5",14,46,742,"PWKZX136MX","DP1844527-15A0",15,34,742,"PWKZX135MX","DP1844527-16G6",16,48,742,"PWKZX133MX","DP1844527-17G1",17,44,742,"PWKZX132MX","DP1844527-18F4",18,38,742,"PWKZX131MX","DP1844527-19E7",19,46,742,"PWKZX130MX","DP1844527-20F4",20,38,742,"PWKZX129MX","DP1844527-21E7",21,49,742,"PWKZX128MX","DP1844527-22E2",22,40,742,"PWKZX127MX","DP1844527-23D5",23,25,742,"PWKZX126MX","DP1844527-24D0",24,42,742,"PWKZX125MX","DP1844527-25C3",25,42,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474676","GG01","ATV","1","3N4143","F13KC100","DP1845937.00C","ET6XN5V-HSY21A8000",25,15261,300,"YOK","20240904140705","AMKVN","GE5GJ122SE","DP1845937-01D6",1,637,742,"GE5GJ121SE","DP1845937-02D1",2,648,742,"GE5GJ120SE","DP1845937-03C4",3,597,742,"GE5GJ119SE","DP1845937-04B7",4,0,742,"GE5GJ118SE","DP1845937-05B2",5,657,742,"GE5GJ117SE","DP1845937-06A5",6,646,742,"GE5GJ116SE","DP1845937-07A0",7,605,742,"GE5GJ115SE","DP1845937-08G6",8,645,742,"GE5GJ114SE","DP1845937-09G1",9,672,742,"GE5GJ113SE","DP1845937-10G6",10,636,742,"GE5GJ112SE","DP1845937-11G1",11,592,742,"GE5GJ111SE","DP1845937-12F4",12,652,742,"GE5GJ110SE","DP1845937-13E7",13,638,742,"GE5GJ109SE","DP1845937-14E2",14,658,742,"GE5GJ108SE","DP1845937-15D5",15,613,742,"GE5GJ107SE","DP1845937-16D0",16,663,742,"GE5GJ106SE","DP1845937-17C3",17,650,742,"GE5GJ105SE","DP1845937-18B6",18,649,742,"GE5GJ104SE","DP1845937-19B1",19,590,742,"GE5GJ103SE","DP1845937-20B6",20,623,742,"GE5GJ102SE","DP1845937-21B1",21,656,742,"GE5GJ141SE","DP1845937-22A4",22,642,742,"GE5GJ140SE","DP1845937-23H2",23,642,742,"GE5GJ139SE","DP1845937-24G5",24,632,742,"GE5GJ138SE","DP1845937-25G0",25,618,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474677","GG01","ATV","1","3N4146","F13KC100","DP1845937.00C","ET6XN5V-HSY2ZC8CM3",25,1104,300,"YOK","20240904140705","AMKVN","GE5GJ122SE","DP1845937-01D6",1,38,742,"GE5GJ121SE","DP1845937-02D1",2,41,742,"GE5GJ120SE","DP1845937-03C4",3,39,742,"GE5GJ119SE","DP1845937-04B7",4,177,742,"GE5GJ118SE","DP1845937-05B2",5,43,742,"GE5GJ117SE","DP1845937-06A5",6,27,742,"GE5GJ116SE","DP1845937-07A0",7,47,742,"GE5GJ115SE","DP1845937-08G6",8,34,742,"GE5GJ114SE","DP1845937-09G1",9,28,742,"GE5GJ113SE","DP1845937-10G6",10,50,742,"GE5GJ112SE","DP1845937-11G1",11,70,742,"GE5GJ111SE","DP1845937-12F4",12,27,742,"GE5GJ110SE","DP1845937-13E7",13,34,742,"GE5GJ109SE","DP1845937-14E2",14,25,742,"GE5GJ108SE","DP1845937-15D5",15,50,742,"GE5GJ107SE","DP1845937-16D0",16,27,742,"GE5GJ106SE","DP1845937-17C3",17,40,742,"GE5GJ105SE","DP1845937-18B6",18,33,742,"GE5GJ104SE","DP1845937-19B1",19,39,742,"GE5GJ103SE","DP1845937-20B6",20,52,742,"GE5GJ102SE","DP1845937-21B1",21,30,742,"GE5GJ141SE","DP1845937-22A4",22,41,742,"GE5GJ140SE","DP1845937-23H2",23,27,742,"GE5GJ139SE","DP1845937-24G5",24,40,742,"GE5GJ138SE","DP1845937-25G0",25,45,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474678","GG01","ATV","1","3N4168","F13KNU00","DP1846362.00C","ET6XN5V-HSY21A8000",25,16390,300,"YOK","20240904140705","AMKVN","PWNAI102MX","DP1846362-01B4",1,657,742,"PWNAI101MX","DP1846362-02A7",2,634,742,"PWNAI100MX","DP1846362-03A2",3,656,742,"PWNAI099MX","DP1846362-04H0",4,673,742,"PWNAI023MX","DP1846362-05G3",5,642,742,"PWNAI022MX","DP1846362-06F6",6,639,742,"PWNAI021MX","DP1846362-07F1",7,676,742,"PWNAI020MX","DP1846362-08E4",8,652,742,"PWNAI019MX","DP1846362-09D7",9,664,742,"PWNAI018MX","DP1846362-10E4",10,670,742,"PWNAI017MX","DP1846362-11D7",11,642,742,"PWNAI016MX","DP1846362-12D2",12,651,742,"PWNAI015MX","DP1846362-13C5",13,630,742,"PWNAI014MX","DP1846362-14C0",14,659,742,"PWNAI013MX","DP1846362-15B3",15,659,742,"PWNAI012MX","DP1846362-16A6",16,642,742,"PWNAI011MX","DP1846362-17A1",17,659,742,"PWNAI010MX","DP1846362-18G7",18,667,742,"PWNAI009MX","DP1846362-19G2",19,649,742,"PWNAI008MX","DP1846362-20G7",20,650,742,"PWNAI007MX","DP1846362-21G2",21,651,742,"PWNAI006MX","DP1846362-22F5",22,681,742,"PWNAI005MX","DP1846362-23F0",23,660,742,"PWNAI004MX","DP1846362-24E3",24,671,742,"PWNAI003MX","DP1846362-25D6",25,656,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474679","GG01","ATV","1","3N4171","F13KNU00","DP1846362.00C","ET6XN5V-HSY2ZC8CM3",25,935,300,"YOK","20240904140705","AMKVN","PWNAI102MX","DP1846362-01B4",1,46,742,"PWNAI101MX","DP1846362-02A7",2,36,742,"PWNAI100MX","DP1846362-03A2",3,42,742,"PWNAI099MX","DP1846362-04H0",4,21,742,"PWNAI023MX","DP1846362-05G3",5,50,742,"PWNAI022MX","DP1846362-06F6",6,45,742,"PWNAI021MX","DP1846362-07F1",7,26,742,"PWNAI020MX","DP1846362-08E4",8,45,742,"PWNAI019MX","DP1846362-09D7",9,34,742,"PWNAI018MX","DP1846362-10E4",10,35,742,"PWNAI017MX","DP1846362-11D7",11,43,742,"PWNAI016MX","DP1846362-12D2",12,36,742,"PWNAI015MX","DP1846362-13C5",13,50,742,"PWNAI014MX","DP1846362-14C0",14,28,742,"PWNAI013MX","DP1846362-15B3",15,36,742,"PWNAI012MX","DP1846362-16A6",16,37,742,"PWNAI011MX","DP1846362-17A1",17,38,742,"PWNAI010MX","DP1846362-18G7",18,36,742,"PWNAI009MX","DP1846362-19G2",19,42,742,"PWNAI008MX","DP1846362-20G7",20,45,742,"PWNAI007MX","DP1846362-21G2",21,45,742,"PWNAI006MX","DP1846362-22F5",22,16,742,"PWNAI005MX","DP1846362-23F0",23,28,742,"PWNAI004MX","DP1846362-24E3",24,33,742,"PWNAI003MX","DP1846362-25D6",25,42,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474680","GG01","ATV","1","3N4210","F13KYX00","DP1846761.00C","ET6XN5V-HSY21A8000",25,16030,300,"YOK","20240904140705","AMKVN","PWMQG028MX","DP1846761-01F7",1,654,742,"PWMQG027MX","DP1846761-02F2",2,597,742,"PWMQG026MX","DP1846761-03E5",3,686,742,"PWMQG169MX","DP1846761-04E0",4,629,742,"PWMQG167MX","DP1846761-05D3",5,651,742,"PWMQG166MX","DP1846761-06C6",6,620,742,"PWMQG165MX","DP1846761-07C1",7,636,742,"PWMQG164MX","DP1846761-08B4",8,649,742,"PWMQG163MX","DP1846761-09A7",9,670,742,"PWMQG162MX","DP1846761-10B4",10,659,742,"PWMQG161MX","DP1846761-11A7",11,673,742,"PWMQG159MX","DP1846761-12A2",12,641,742,"PWMQG158MX","DP1846761-13H0",13,664,742,"PWMQG157MX","DP1846761-14G3",14,664,742,"PWMQG156MX","DP1846761-15F6",15,652,742,"PWMQG155MX","DP1846761-16F1",16,634,742,"PWMQG154MX","DP1846761-17E4",17,637,742,"PWMQG153MX","DP1846761-18D7",18,621,742,"PWMQG152MX","DP1846761-19D2",19,655,742,"PWMQG151MX","DP1846761-20D7",20,659,742,"PWMQH040MX","DP1846761-21D2",21,645,742,"PWMQH100MX","DP1846761-22C5",22,631,742,"PWMQH099MX","DP1846761-23C0",23,637,742,"PWMQH098MX","DP1846761-24B3",24,576,742,"PWMQH097MX","DP1846761-25A6",25,590,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474681","GG01","ATV","1","3N4213","F13KYX00","DP1846761.00C","ET6XN5V-HSY2ZC8CM3",25,941,300,"YOK","20240904140705","AMKVN","PWMQG028MX","DP1846761-01F7",1,44,742,"PWMQG027MX","DP1846761-02F2",2,48,742,"PWMQG026MX","DP1846761-03E5",3,24,742,"PWMQG169MX","DP1846761-04E0",4,41,742,"PWMQG167MX","DP1846761-05D3",5,42,742,"PWMQG166MX","DP1846761-06C6",6,55,742,"PWMQG165MX","DP1846761-07C1",7,41,742,"PWMQG164MX","DP1846761-08B4",8,35,742,"PWMQG163MX","DP1846761-09A7",9,35,742,"PWMQG162MX","DP1846761-10B4",10,25,742,"PWMQG161MX","DP1846761-11A7",11,22,742,"PWMQG159MX","DP1846761-12A2",12,35,742,"PWMQG158MX","DP1846761-13H0",13,31,742,"PWMQG157MX","DP1846761-14G3",14,31,742,"PWMQG156MX","DP1846761-15F6",15,28,742,"PWMQG155MX","DP1846761-16F1",16,38,742,"PWMQG154MX","DP1846761-17E4",17,41,742,"PWMQG153MX","DP1846761-18D7",18,42,742,"PWMQG152MX","DP1846761-19D2",19,38,742,"PWMQG151MX","DP1846761-20D7",20,24,742,"PWMQH040MX","DP1846761-21D2",21,36,742,"PWMQH100MX","DP1846761-22C5",22,40,742,"PWMQH099MX","DP1846761-23C0",23,40,742,"PWMQH098MX","DP1846761-24B3",24,40,742,"PWMQH097MX","DP1846761-25A6",25,65,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474682","GG01","ATV","1","3N5768","F13L3R00","DP1846935.00C","ET6XN5V-HSY21A8000",25,16334,300,"YOK","20240904140704","AMKVN","PWNPY102MX","DP1846935-01F1",1,656,742,"PWNPY101MX","DP1846935-02E4",2,670,742,"PWNPY075MX","DP1846935-03D7",3,651,742,"PWNPY074MX","DP1846935-04D2",4,636,742,"PWNPY073MX","DP1846935-05C5",5,580,742,"PWNPY072MX","DP1846935-06C0",6,657,742,"PWNPY071MX","DP1846935-07B3",7,662,742,"PWNPY070MX","DP1846935-08A6",8,668,742,"PWNPY069MX","DP1846935-09A1",9,627,742,"PWNPY068MX","DP1846935-10A6",10,641,742,"PWNPY067MX","DP1846935-11A1",11,656,742,"PWNPY066MX","DP1846935-12G7",12,667,742,"PWNPY065MX","DP1846935-13G2",13,651,742,"PWNPY064MX","DP1846935-14F5",14,661,742,"PWNPY063MX","DP1846935-15F0",15,641,742,"PWNPY062MX","DP1846935-16E3",16,676,742,"PWNPY061MX","DP1846935-17D6",17,630,742,"PWNPY060MX","DP1846935-18D1",18,653,742,"PWNPY059MX","DP1846935-19C4",19,676,742,"PWNPY058MX","DP1846935-20D1",20,639,742,"PWNPY057MX","DP1846935-21C4",21,672,742,"PWNPY056MX","DP1846935-22B7",22,659,742,"PWNPY055MX","DP1846935-23B2",23,663,742,"PWNPY054MX","DP1846935-24A5",24,667,742,"PWNPY053MX","DP1846935-25A0",25,675,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474683","GG01","ATV","1","3N5773","F13L3R00","DP1846935.00C","ET6XN5V-HSY2ZC8CM3",25,892,300,"YOK","20240904140704","AMKVN","PWNPY102MX","DP1846935-01F1",1,40,742,"PWNPY101MX","DP1846935-02E4",2,31,742,"PWNPY075MX","DP1846935-03D7",3,39,742,"PWNPY074MX","DP1846935-04D2",4,42,742,"PWNPY073MX","DP1846935-05C5",5,55,742,"PWNPY072MX","DP1846935-06C0",6,34,742,"PWNPY071MX","DP1846935-07B3",7,40,742,"PWNPY070MX","DP1846935-08A6",8,30,742,"PWNPY069MX","DP1846935-09A1",9,38,742,"PWNPY068MX","DP1846935-10A6",10,38,742,"PWNPY067MX","DP1846935-11A1",11,39,742,"PWNPY066MX","DP1846935-12G7",12,32,742,"PWNPY065MX","DP1846935-13G2",13,38,742,"PWNPY064MX","DP1846935-14F5",14,24,742,"PWNPY063MX","DP1846935-15F0",15,40,742,"PWNPY062MX","DP1846935-16E3",16,24,742,"PWNPY061MX","DP1846935-17D6",17,44,742,"PWNPY060MX","DP1846935-18D1",18,26,742,"PWNPY059MX","DP1846935-19C4",19,32,742,"PWNPY058MX","DP1846935-20D1",20,53,742,"PWNPY057MX","DP1846935-21C4",21,22,742,"PWNPY056MX","DP1846935-22B7",22,34,742,"PWNPY055MX","DP1846935-23B2",23,37,742,"PWNPY054MX","DP1846935-24A5",24,35,742,"PWNPY053MX","DP1846935-25A0",25,25,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474652","GG01","ATV","1","3N0821","F13JVB00","DP1845335.00C","ET6XN5V-HSY21A8000",25,16553,300,"YOK","20240904140705","AMKVN","PWMJU050MX","DP1845335-01H2",1,646,742,"PWMJU049MX","DP1845335-02G5",2,659,742,"PWMJU048MX","DP1845335-03G0",3,645,742,"PWMJU047MX","DP1845335-04F3",4,677,742,"PWMJU046MX","DP1845335-05E6",5,659,742,"PWMJU045MX","DP1845335-06E1",6,660,742,"PWMJU044MX","DP1845335-07D4",7,658,742,"PWMJU043MX","DP1845335-08C7",8,670,742,"PWMJU042MX","DP1845335-09C2",9,669,742,"PWMJU041MX","DP1845335-10C7",10,661,742,"PWMJU040MX","DP1845335-11C2",11,656,742,"PWMJU039MX","DP1845335-12B5",12,681,742,"PWMJU038MX","DP1845335-13B0",13,665,742,"PWMJU037MX","DP1845335-14A3",14,662,742,"PWMJU036MX","DP1845335-15H1",15,669,742,"PWMJU035MX","DP1845335-16G4",16,665,742,"PWMJU034MX","DP1845335-17F7",17,654,742,"PWMJU033MX","DP1845335-18F2",18,666,742,"PWMJU032MX","DP1845335-19E5",19,645,742,"PWMJU031MX","DP1845335-20F2",20,642,742,"PWMJU030MX","DP1845335-21E5",21,676,742,"PWMJU029MX","DP1845335-22E0",22,665,742,"PWMJU028MX","DP1845335-23D3",23,661,742,"PWMJU027MX","DP1845335-24C6",24,681,742,"PWMJU026MX","DP1845335-25C1",25,661,742,"01","20240904140705","VFAAA030","20240904143704",""
